19920626.0142	92.6.26-14230	train	talk.politics.misc
19920628.0074	1992.6.28-7407	train	rec.motorcycles
19930222.0082	1993.2.22-8240	train	misc.forsale
19930226.0019	1993.2.26-1870	train	rec.sport.baseball
19930301.0112	93.3.1-11152	train	comp.windows.x
19930301.0112	93.3.1-11153	train	comp.windows.x
19930308.0009	1993.3.8-853	train	sci.crypt
19930311.0164	1993.3.11-16368	train	rec.sport.baseball
19930317.0133	1993.3.17-13277	train	rec.sport.baseball
19930318.0137	1993.3.18-13736	train	sci.med
19930319.006	93.3.19-5960	train	comp.graphics
19930319.0162	93.3.19-16195	train	comp.os.ms-windows.misc
19930322.0089	93.3.22-8889	train	rec.motorcycles
19930328.0084	1993.3.28-8385	train	sci.space
19930329.0008	93.3.29-795	train	misc.forsale
19930329.0081	1993.3.29-8066	train	alt.atheism
19930329.0093	93.3.29-9341	train	sci.electronics
19930330.002	93.3.30-1963	train	rec.sport.baseball
19930331.0021	93.3.31-2064	train	sci.crypt
19930331.0021	93.3.31-2066	train	sci.crypt
19930331.0061	1993.3.31-6072	train	sci.electronics
19930331.0085	1993.3.31-8527	train	misc.forsale
19930331.0097	93.3.31-9716	train	rec.motorcycles
19930331.0131	93.3.31-13063	train	comp.windows.x
19930331.0171	1993.3.31-17062	train	sci.electronics
19930401.0007	1993.4.1-692	train	rec.sport.baseball
19930401.0019	1993.4.1-1899	train	sci.space
19930401.0026	93.4.1-2553	train	misc.forsale
19930401.003	93.4.1-2973	train	sci.space
19930401.0036	93.4.1-3608	train	sci.space
19930401.0036	93.4.1-3610	train	sci.space
19930401.0036	93.4.1-3611	train	sci.space
19930401.0036	93.4.1-3612	train	sci.space
19930401.0036	93.4.1-3613	train	sci.space
19930401.0054	1993.4.1-5376	train	rec.motorcycles
19930401.0055	93.4.1-5527	train	alt.atheism
19930401.0067	93.4.1-6704	train	sci.electronics
19930401.008	1993.4.1-8021	train	sci.space
19930401.012	93.4.1-12006	train	sci.space
19930401.012	93.4.1-12009	train	sci.space
19930401.012	93.4.1-12010	train	sci.space
19930401.0132	93.4.1-13162	train	alt.atheism
19930401.0142	1993.4.1-14179	train	talk.politics.guns
19930401.0142	1993.4.1-14182	train	talk.politics.guns
19930401.015	93.4.1-15021	train	comp.sys.ibm.pc.hardware
19930401.0178	1993.4.1-17785	train	sci.space
19930401.0178	1993.4.1-17786	train	sci.space
19930401.0178	1993.4.1-17787	train	sci.space
19930401.0178	1993.4.1-17788	train	sci.space
19930401.0178	1993.4.1-17789	train	sci.space
19930401.0178	1993.4.1-17790	train	sci.space
19930402.0008	93.4.2-798	train	misc.forsale
19930402.0021	93.4.2-2149	train	alt.atheism
19930402.0022	93.4.2-2154	train	alt.atheism
19930402.0022	93.4.2-2188	train	alt.atheism
19930402.0024	1993.4.2-2429	train	comp.sys.mac.hardware
19930402.0025	1993.4.2-2489	train	comp.windows.x
19930402.0028	1993.4.2-2753	train	comp.graphics
19930402.0034	93.4.2-3376	train	talk.politics.guns
19930402.0035	93.4.2-3488	train	alt.atheism
19930402.0042	93.4.2-4177	train	alt.atheism
19930402.0042	93.4.2-4189	train	alt.atheism
19930402.0042	1993.4.2-4211	train	talk.politics.misc
19930402.0054	1993.4.2-5362	train	rec.autos
19930402.0057	93.4.2-5676	train	sci.med
19930402.0069	93.4.2-6927	train	alt.atheism
19930402.0079	93.4.2-7894	train	sci.electronics
19930402.0085	93.4.2-8520	train	rec.sport.hockey
19930402.01	1993.4.2-9985	train	sci.electronics
19930402.0109	93.4.2-10929	train	sci.space
19930402.0109	1993.4.2-10948	train	rec.motorcycles
19930402.0132	93.4.2-13157	train	alt.atheism
19930402.0142	1993.4.2-14180	train	talk.politics.guns
19930402.0177	1993.4.2-17743	train	rec.sport.baseball
19930402.0183	93.4.2-18301	train	comp.sys.mac.hardware
19930403.0002	93.4.3-183	train	sci.med
19930403.0027	1993.4.3-2686	train	talk.politics.guns
19930403.003	93.4.3-2958	train	sci.electronics
19930403.0032	93.4.3-3199	train	rec.autos
19930403.0039	93.4.3-3869	train	rec.autos
19930403.0049	93.4.3-4861	train	alt.atheism
19930403.0049	93.4.3-4863	train	alt.atheism
19930403.005	1993.4.3-4975	train	alt.atheism
19930403.0052	1993.4.3-5229	train	alt.atheism
19930403.0052	1993.4.3-5230	train	alt.atheism
19930403.0052	1993.4.3-5231	train	alt.atheism
19930403.0052	1993.4.3-5232	train	alt.atheism
19930403.0052	1993.4.3-5233	train	alt.atheism
19930403.0052	1993.4.3-5234	train	alt.atheism
19930403.0052	1993.4.3-5235	train	alt.atheism
19930403.0065	93.4.3-6460	train	comp.sys.mac.hardware
19930403.0084	1993.4.3-8360	train	misc.forsale
19930403.0085	1993.4.3-8522	train	comp.graphics
19930403.0101	93.4.3-10137	train	alt.atheism
19930403.0109	93.4.3-10945	train	rec.motorcycles
19930403.0115	1993.4.3-11477	train	alt.atheism
19930403.0119	93.4.3-11937	train	sci.electronics
19930403.0119	93.4.3-11939	train	sci.electronics
19930403.0126	93.4.3-12584	train	sci.electronics
19930403.0128	93.4.3-12813	train	talk.politics.mideast
19930403.0132	93.4.3-13158	train	comp.os.ms-windows.misc
19930403.0152	93.4.3-15232	train	alt.atheism
19930403.0164	93.4.3-16432	train	rec.sport.hockey
19930403.0167	1993.4.3-16749	train	talk.politics.misc
19930404.0002	93.4.4-174	train	talk.politics.mideast
