0
69575,.
183819,","
191949,a
81007,i
63644,and
188943,outraged...why
193797,key.''
113756,recound
230976,department
24614,any
118853,"""message"""
192430,first
67834,Infini-D
109576,maleness
185459,Nibley.
202796,Aaron>
1
100406,_one_of_which_
129368,[KK]	
206207,FUBAR
204407,succinctly
151663,nutters.
4944,>>yes
251999,reporters
97671,">""accidently"""
163847,True..
277009,Terminals
185987,basileus
105298,.-)
280145,wide-spread
64884,>rough
2779,Dorin's
283332,:	1.
2
175317,DW.
38714,article's
142194,marriages?
100679,majestati
79195,Quoth
155851,[1965]
257157,girlfriend
283064,Phishnet
59780,"megalomania."""
245072,`whistleblowers'
68152,Imparatorlugu'nun
104097,1138
101876,attend
26932,parse.h
45959,stairs.
54443,cheese-on-celluloid
3
33314,Cornwall
66406,merknaam
38977,>WE
228203,gummy
111161,5A
221684,>>CNN's
170778,didn't;
191896,stupid..
283910,"""something"
200636,glowing.
11550,instantaneous
4948,Ed
257116,"""preserve"
61992,>witnesses.
293555,drugs---something
119252,marchers
4
224761,">>""abortion"
117437,10/29/91
242893,>>>by
196495,Alias?
7394,hasn't
165914,:>Are
229972,era.
294434,|>deserve
256228,1.09
246743,Jon!
165770,"evils."""
213064,	computed
148696,connotations.
96549,Gingell
233429,Dahlberg)
16528,Nimeroff
5
69575,.
174885,the
183819,","
266963,to
206281,-
266644,of
63644,and
191949,a
11728,'
243325,>
282319,in
81007,i
266367,is
281869,(
228112,/
113217,that
6
150822,<work
102365,	June
191010,12.6)
265802,"(Text)"""
272155,"""Ask"
134828,uraniums
238097,"""preach,"""
172569,RIPEMs
63814,beasts):
136639,"""shrewd"
45834,>NMM>Subject
181378,"(16,518"
47321,panning/scrolling
97592,Kalivoda
42199,[Keep
255814,	Shift<Key>q:	quit()
7
161353,Wavetracer
53890,duly-elected
122423,_with
110095,sweet
177312,>disrepute?
123930,biliquid
95188,minivan
223418,(begin
252864,#frank@D012S658.uucp
242383,Q950
68414,(currently
205812,>15).
156468,Donleavy
165714,#If
222446,	run
47778,Canucks!
8
195317,MVT
33301,"falling"""
109278,call_data;
220781,customizable
101738,Stankowitz
26869,bore...
157622,'80's....
164205,rev
33726,NASAs
158431,lower.
69312,f**king
182008,three-day
46151,Registers
271478,situational;
177477,unpacking
246235,NWO-666
9
25756,bails
156499,Seychelles
241224,once.:-)
173214,$(TOP)/util
39826,452-1129
225188,Plague
125702,seventeenth
183717,Microdevices
92123,>'just
41202,Barrak
220905,1977.
172052,suppressants
31096,adopts
80972,co-driver
127005,chases
131008,9150618
